排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京师范大学,,,662
2,前5%,南京大学,,,622
3,前5%,上海戏剧学院,,,514
4,前10%,北京电影学院,,,437
5,前10%,中国传媒大学,,,429
6,前10%,上海大学,,,258
7,前25%,中国戏曲学院,,,254
8,前25%,厦门大学,,,246
9,前25%,四川师范大学,,,200
10,前25%,福建师范大学,,,164
11,前25%,中央戏剧学院,,,162
12,前25%,山西师范大学,,,132
13,前25%,北京大学,,,103
14,前25%,四川美术学院,,,102
15,前25%,武汉大学,,,85
16,前25%,上海师范大学,,,79
17,前50%,浙江师范大学,,,74
18,前50%,河南大学,,,66
19,前50%,陕西师范大学,,,64
20,前50%,苏州大学,,,51
21,前50%,华东师范大学,,,39
21,前50%,重庆大学,,,39
23,前50%,广州大学,,,35
23,前50%,扬州大学,,,35
25,前50%,西南大学,,,34
26,前50%,广西艺术学院,,,32
26,前50%,吉林艺术学院,,,32
26,前50%,南京师范大学,,,32
26,前50%,山东艺术学院,,,32
30,前50%,贵州大学,,,30
30,前50%,河北大学,,,30
30,前50%,云南艺术学院,,,30
33,前50%,湖南师范大学,,,29
33,前50%,天津音乐学院,,,29
