2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前5%,南京大学,,,784
2,1,前5%,北京师范大学,,,641
3,3,前5%,上海戏剧学院,,,550
4,5,前10%,中国传媒大学,,,499
5,4,前10%,北京电影学院,,,421
6,12,前10%,山西师范大学,,,281
7,8,前25%,厦门大学,,,274
8,6,前25%,上海大学,,,234
9,9,前25%,四川师范大学,,,226
10,7,前25%,中国戏曲学院,,,215
11,10,前25%,福建师范大学,,,208
12,16,前25%,上海师范大学,,,169
13,14,前25%,四川美术学院,,,100
14,26,前25%,南京师范大学,,,94
14,11,前25%,中央戏剧学院,,,94
16,25,前25%,西南大学,,,80
17,17,前25%,浙江师范大学,,,78
18,15,前50%,武汉大学,,,66
19,20,前50%,苏州大学,,,59
20,13,前50%,北京大学,,,57
20,23,前50%,广州大学,,,57
20,23,前50%,扬州大学,,,57
23,26,前50%,山东艺术学院,,,54
24,,前50%,复旦大学,,,47
24,21,前50%,重庆大学,,,47
26,21,前50%,华东师范大学,,,38
27,,前50%,江苏师范大学,,,36
28,,前50%,中国人民大学,,,35
29,18,前50%,河南大学,,,34
30,,前50%,东北师范大学,,,33
31,,前50%,山东师范大学,,,32
32,,前50%,曲阜师范大学,,,30
32,19,前50%,陕西师范大学,,,30
34,,前50%,安徽师范大学,,,28
34,26,前50%,广西艺术学院,,,28
34,26,前50%,吉林艺术学院,,,28
