排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中央美术学院,,,850
2,前5%,首都师范大学,,,371
3,前5%,南京艺术学院,,,357
4,前5%,中国美术学院,,,327
5,前5%,东北师范大学,,,187
6,前5%,清华大学,,,185
7,前10%,华东师范大学,,,174
8,前10%,中国人民大学,,,172
9,前10%,四川大学,,,151
10,前10%,鲁迅美术学院,,,150
11,前10%,南京大学,,,144
12,前10%,上海大学,,,121
13,前25%,陕西师范大学,,,118
14,前25%,吉林大学,,,114
14,前25%,山东师范大学,,,114
16,前25%,中国传媒大学,,,110
17,前25%,哈尔滨师范大学,,,105
18,前25%,华中师范大学,,,104
19,前25%,福州大学,,,101
20,前25%,东南大学,,,100
21,前25%,山东大学,,,76
22,前25%,广州美术学院,,,73
23,前25%,北京大学,,,72
23,前25%,广西艺术学院,,,72
25,前25%,河南师范大学,,,65
25,前25%,江南大学,,,65
25,前25%,江苏师范大学,,,65
28,前25%,深圳大学,,,64
28,前25%,苏州大学,,,64
30,前25%,安徽师范大学,,,63
31,前50%,南京师范大学,,,61
32,前50%,福建师范大学,,,60
32,前50%,扬州大学,,,60
34,前50%,河北师范大学,,,59
34,前50%,四川美术学院,,,59
36,前50%,湖南师范大学,,,55
36,前50%,郑州大学,,,55
38,前50%,广西师范大学,,,54
38,前50%,武汉理工大学,,,54
40,前50%,北京印刷学院,,,53
40,前50%,河北大学,,,53
40,前50%,江西科技师范大学,,,53
40,前50%,西安建筑科技大学,,,53
44,前50%,安徽工程大学,,,51
44,前50%,内蒙古师范大学,,,51
44,前50%,沈阳师范大学,,,51
47,前50%,渤海大学,,,50
47,前50%,赣南师范大学,,,50
49,前50%,天津美术学院,,,38
50,前50%,聊城大学,,,34
51,前50%,西安美术学院,,,29
52,前50%,西南大学,,,28
53,前50%,新疆师范大学,,,24
54,前50%,重庆大学,,,21
55,前50%,华南师范大学,,,18
56,前50%,天津大学,,,17
56,前50%,中央民族大学,,,17
58,前50%,山西大学,,,14
58,前50%,西南民族大学,,,14
60,前50%,河南大学,,,13
60,前50%,上海师范大学,,,13
