2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中央美术学院,,,833
2,3,前5%,南京艺术学院,,,515
3,4,前5%,中国美术学院,,,330
4,8,前5%,中国人民大学,,,219
5,7,前5%,华东师范大学,,,196
6,2,前5%,首都师范大学,,,190
7,12,前10%,上海大学,,,155
8,13,前10%,陕西师范大学,,,148
9,52,前10%,西南大学,,,134
10,5,前10%,东北师范大学,,,133
11,32,前10%,福建师范大学,,,111
12,16,前10%,中国传媒大学,,,110
13,49,前25%,天津美术学院,,,109
14,34,前25%,四川美术学院,,,106
15,6,前25%,清华大学,,,102
16,18,前25%,华中师范大学,,,101
17,23,前25%,北京大学,,,91
18,9,前25%,四川大学,,,90
19,23,前25%,广西艺术学院,,,87
20,20,前25%,东南大学,,,86
21,14,前25%,山东师范大学,,,82
21,32,前25%,扬州大学,,,82
23,60,前25%,河南大学,,,81
24,14,前25%,吉林大学,,,80
25,50,前25%,聊城大学,,,69
26,19,前25%,福州大学,,,68
26,10,前25%,鲁迅美术学院,,,68
28,22,前25%,广州美术学院,,,65
29,31,前25%,南京师范大学,,,64
30,51,前25%,西安美术学院,,,63
31,55,前25%,华南师范大学,,,50
31,28,前25%,深圳大学,,,50
31,28,前25%,苏州大学,,,50
34,,前50%,淮北师范大学,,,49
35,25,前50%,河南师范大学,,,44
35,60,前50%,上海师范大学,,,44
37,58,前50%,山西大学,,,43
37,58,前50%,西南民族大学,,,43
39,,前50%,杭州师范大学,,,42
39,11,前50%,南京大学,,,42
39,36,前50%,郑州大学,,,42
42,17,前50%,哈尔滨师范大学,,,41
42,34,前50%,河北师范大学,,,41
44,,前50%,江苏大学,,,39
44,38,前50%,武汉理工大学,,,39
46,,前50%,湖北美术学院,,,38
47,,前50%,北京服装学院,,,37
47,,前50%,东华大学,,,37
47,38,前50%,广西师范大学,,,37
47,,前50%,湖北大学,,,37
47,40,前50%,江西科技师范大学,,,37
52,40,前50%,北京印刷学院,,,36
53,44,前50%,安徽工程大学,,,35
54,47,前50%,渤海大学,,,33
54,47,前50%,赣南师范大学,,,33
54,,前50%,湖南工业大学,,,33
57,21,前50%,山东大学,,,24
58,53,前50%,新疆师范大学,,,23
59,25,前50%,江南大学,,,20
60,56,前50%,中央民族大学,,,17
61,25,前50%,江苏师范大学,,,16
62,54,前50%,重庆大学,,,13
63,,前50%,内蒙古大学,,,12
