排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京大学,,,667
2,前5%,中国传媒大学,,,462
3,前5%,东南大学,,,357
4,前10%,南京大学,,,310
5,前10%,西安美术学院,,,307
6,前10%,武汉大学,,,306
7,前25%,中国美术学院,,,229
8,前25%,南京艺术学院,,,215
9,前25%,厦门大学,,,197
10,前25%,中央美术学院,,,178
11,前25%,清华大学,,,172
12,前25%,北京师范大学,,,151
13,前25%,山东大学,,,145
14,前25%,中国人民大学,,,114
15,前25%,深圳大学,,,110
16,前25%,浙江理工大学,,,104
17,前25%,哈尔滨师范大学,,,101
18,前50%,上海音乐学院,,,95
19,前50%,苏州大学,,,81
20,前50%,上海大学,,,77
21,前50%,江苏师范大学,,,70
22,前50%,西南大学,,,48
23,前50%,山东艺术学院,,,45
24,前50%,山东师范大学,,,43
25,前50%,云南大学,,,39
26,前50%,湖南师范大学,,,38
26,前50%,山西大学,,,38
28,前50%,景德镇陶瓷大学,,,37
29,前50%,北京电影学院,,,35
29,前50%,云南艺术学院,,,35
31,前50%,上海戏剧学院,,,34
32,前50%,杭州师范大学,,,33
32,前50%,昆明理工大学,,,33
34,前50%,四川大学,,,26
