2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京大学,,,603
2,3,前5%,东南大学,,,599
3,5,前5%,西安美术学院,,,309
4,2,前10%,中国传媒大学,,,259
5,8,前10%,南京艺术学院,,,244
6,11,前10%,清华大学,,,196
7,,前10%,浙江大学,,,183
8,9,前25%,厦门大学,,,174
8,7,前25%,中国美术学院,,,174
10,10,前25%,中央美术学院,,,170
11,6,前25%,武汉大学,,,160
12,12,前25%,北京师范大学,,,140
13,,前25%,同济大学,,,110
14,,前25%,四川美术学院,,,91
15,18,前25%,上海音乐学院,,,83
16,,前25%,中国戏曲学院,,,81
17,15,前25%,深圳大学,,,77
18,16,前25%,浙江理工大学,,,72
19,20,前25%,上海大学,,,67
20,14,前50%,中国人民大学,,,64
21,13,前50%,山东大学,,,59
22,19,前50%,苏州大学,,,57
23,34,前50%,四川大学,,,51
24,25,前50%,云南大学,,,49
25,31,前50%,上海戏剧学院,,,46
26,28,前50%,景德镇陶瓷大学,,,45
26,,前50%,武汉纺织大学,,,45
26,29,前50%,云南艺术学院,,,45
29,32,前50%,杭州师范大学,,,35
30,24,前50%,山东师范大学,,,34
30,23,前50%,山东艺术学院,,,34
32,26,前50%,湖南师范大学,,,28
33,,前50%,重庆大学,,,27
34,21,前50%,江苏师范大学,,,26
34,26,前50%,山西大学,,,26
34,,前50%,扬州大学,,,26
37,29,前50%,北京电影学院,,,25
37,,前50%,四川师范大学,,,25
39,,前50%,山东工艺美术学院,,,24
39,,前50%,武汉理工大学,,,24
