排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,760
2,前5%,南京艺术学院,,,476
3,前5%,江南大学,,,379
4,前5%,山东工艺美术学院,,,377
5,前5%,同济大学,,,349
6,前5%,北京服装学院,,,325
7,前5%,中国美术学院,,,214
8,前10%,四川美术学院,,,204
9,前10%,武汉理工大学,,,178
10,前10%,中央美术学院,,,168
11,前10%,苏州大学,,,141
12,前10%,深圳大学,,,132
13,前10%,中南大学,,,128
14,前10%,广东工业大学,,,125
15,前25%,安徽工程大学,,,124
16,前25%,青岛大学,,,120
17,前25%,南京林业大学,,,100
18,前25%,湖南工业大学,,,98
19,前25%,景德镇陶瓷大学,,,95
20,前25%,江苏师范大学,,,91
20,前25%,西安美术学院,,,91
22,前25%,山西大学,,,88
23,前25%,东华大学,,,87
23,前25%,中国人民大学,,,87
25,前25%,浙江工业大学,,,85
26,前25%,北京印刷学院,,,84
27,前25%,北京建筑大学,,,83
27,前25%,福州大学,,,83
29,前25%,湖北工业大学,,,80
30,前25%,东南大学,,,78
31,前25%,山东大学,,,61
32,前25%,重庆大学,,,57
33,前25%,上海师范大学,,,56
34,前25%,河南大学,,,54
35,前25%,浙江理工大学,,,52
36,前50%,湖南师范大学,,,51
36,前50%,华南理工大学,,,51
36,前50%,上海大学,,,51
39,前50%,北京理工大学,,,49
39,前50%,广州美术学院,,,49
39,前50%,上海交通大学,,,49
39,前50%,中南林业科技大学,,,49
43,前50%,南京航空航天大学,,,48
43,前50%,太原理工大学,,,48
43,前50%,天津大学,,,48
46,前50%,江西师范大学,,,47
46,前50%,天津工业大学,,,47
48,前50%,武汉纺织大学,,,45
49,前50%,华东理工大学,,,44
49,前50%,南昌大学,,,44
51,前50%,北方工业大学,,,43
51,前50%,合肥工业大学,,,43
51,前50%,湖北美术学院,,,43
51,前50%,浙江大学,,,43
51,前50%,中国地质大学（北京）,,,43
56,前50%,北京工业大学,,,41
56,前50%,江西科技师范大学,,,41
56,前50%,天津师范大学,,,41
59,前50%,鲁迅美术学院,,,40
60,前50%,西南大学,,,20
61,前50%,四川大学,,,17
62,前50%,华东师范大学,,,16
63,前50%,湖南大学,,,14
64,前50%,南京师范大学,,,11
65,前50%,南京理工大学,,,9
65,前50%,中南民族大学,,,9
67,前50%,北京交通大学,,,8
67,前50%,东北师范大学,,,8
67,前50%,福建师范大学,,,8
67,前50%,广西师范大学,,,8
67,前50%,西安工程大学,,,8
67,前50%,浙江工商大学,,,8
67,前50%,中国传媒大学,,,8
