2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,883
2,3,前5%,江南大学,,,424
3,2,前5%,南京艺术学院,,,414
4,7,前5%,中国美术学院,,,313
5,5,前5%,同济大学,,,273
6,6,前5%,北京服装学院,,,265
7,4,前5%,山东工艺美术学院,,,220
8,11,前5%,苏州大学,,,152
9,39,前10%,广州美术学院,,,142
10,30,前10%,东南大学,,,132
11,18,前10%,湖南工业大学,,,114
12,35,前10%,浙江理工大学,,,112
13,8,前10%,四川美术学院,,,107
14,26,前10%,北京印刷学院,,,104
15,,前10%,四川师范大学,,,103
16,16,前10%,青岛大学,,,100
17,10,前10%,中央美术学院,,,98
18,9,前25%,武汉理工大学,,,86
19,32,前25%,重庆大学,,,78
20,36,前25%,上海大学,,,77
21,12,前25%,深圳大学,,,76
22,20,前25%,江苏师范大学,,,75
23,23,前25%,东华大学,,,73
23,14,前25%,广东工业大学,,,73
23,39,前25%,上海交通大学,,,73
23,20,前25%,西安美术学院,,,73
23,23,前25%,中国人民大学,,,73
28,13,前25%,中南大学,,,72
29,46,前25%,天津工业大学,,,71
30,19,前25%,景德镇陶瓷大学,,,70
31,27,前25%,北京建筑大学,,,69
31,27,前25%,福州大学,,,69
33,29,前25%,湖北工业大学,,,67
34,,前25%,新疆师范大学,,,66
35,17,前25%,南京林业大学,,,55
35,,前25%,陕西师范大学,,,55
37,,前25%,云南艺术学院,,,51
38,62,前25%,华东师范大学,,,48
39,63,前25%,湖南大学,,,47
40,34,前25%,河南大学,,,45
40,65,前25%,南京理工大学,,,45
42,36,前25%,华南理工大学,,,44
43,36,前25%,湖南师范大学,,,41
44,15,前50%,安徽工程大学,,,40
44,67,前50%,广西师范大学,,,40
44,43,前50%,太原理工大学,,,40
44,39,前50%,中南林业科技大学,,,40
48,46,前50%,江西师范大学,,,39
49,,前50%,海南师范大学,,,38
49,43,前50%,南京航空航天大学,,,38
51,22,前50%,山西大学,,,37
51,25,前50%,浙江工业大学,,,37
53,,前50%,青岛理工大学,,,36
53,48,前50%,武汉纺织大学,,,36
55,56,前50%,北京工业大学,,,35
55,51,前50%,浙江大学,,,35
57,,前50%,天津理工大学,,,34
57,,前50%,西安理工大学,,,34
57,,前50%,新疆艺术学院,,,34
60,,前50%,华中师范大学,,,33
60,59,前50%,鲁迅美术学院,,,33
60,,前50%,武汉科技大学,,,33
63,,前50%,上海工程技术大学,,,21
64,31,前50%,山东大学,,,17
64,61,前50%,四川大学,,,17
66,60,前50%,西南大学,,,14
67,64,前50%,南京师范大学,,,13
68,33,前50%,上海师范大学,,,12
69,,前50%,桂林电子科技大学,,,11
70,,前50%,北京联合大学,,,10
70,,前50%,重庆师范大学,,,10
72,,前50%,华南农业大学,,,9
72,,前50%,武汉大学,,,9
72,67,前50%,中国传媒大学,,,9
75,,前50%,济南大学,,,8
75,,前50%,首都师范大学,,,8
75,65,前50%,中南民族大学,,,8
78,67,前50%,北京交通大学,,,7
78,,前50%,北京林业大学,,,7
78,67,前50%,西安工程大学,,,7
78,67,前50%,浙江工商大学,,,7
78,,前50%,中国矿业大学,,,7
83,39,前50%,北京理工大学,,,6
83,67,前50%,福建师范大学,,,6
85,67,前50%,东北师范大学,,,5
85,,前50%,湖南科技大学,,,5
85,43,前50%,天津大学,,,5
85,,前50%,西南交通大学,,,5
