排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,福建师范大学,,,694
2,前5%,上海音乐学院,,,551
3,前5%,中央音乐学院,,,473
4,前5%,中国音乐学院,,,445
5,前10%,南京艺术学院,,,330
6,前10%,浙江师范大学,,,270
7,前10%,北京舞蹈学院,,,191
8,前10%,东北师范大学,,,183
9,前25%,杭州师范大学,,,165
10,前25%,华南师范大学,,,164
11,前25%,中国人民大学,,,137
12,前25%,苏州大学,,,122
13,前25%,武汉音乐学院,,,115
14,前25%,哈尔滨师范大学,,,110
15,前25%,陕西师范大学,,,94
16,前25%,中国传媒大学,,,81
17,前25%,温州大学,,,80
18,前25%,西安音乐学院,,,78
19,前25%,安徽师范大学,,,76
19,前25%,河南大学,,,76
19,前25%,中央民族大学,,,76
22,前50%,西藏大学,,,75
23,前50%,新疆师范大学,,,73
24,前50%,广州大学,,,72
24,前50%,山东艺术学院,,,72
26,前50%,河北大学,,,68
27,前50%,南京师范大学,,,67
28,前50%,上海师范大学,,,60
28,前50%,天津音乐学院,,,60
30,前50%,首都师范大学,,,58
31,前50%,山东师范大学,,,49
32,前50%,华东师范大学,,,44
33,前50%,四川音乐学院,,,43
34,前50%,河北师范大学,,,41
35,前50%,贵州大学,,,40
35,前50%,重庆大学,,,40
37,前50%,沈阳音乐学院,,,39
38,前50%,江西师范大学,,,38
39,前50%,曲阜师范大学,,,37
39,前50%,新疆艺术学院,,,37
41,前50%,郑州大学,,,36
42,前50%,广西师范大学,,,35
42,前50%,上海戏剧学院,,,35
42,前50%,天津师范大学,,,35
42,前50%,中国戏曲学院,,,35
