2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,福建师范大学,,,679
2,2,前5%,上海音乐学院,,,586
3,3,前5%,中央音乐学院,,,476
4,28,前5%,上海师范大学,,,354
5,5,前10%,南京艺术学院,,,324
6,8,前10%,东北师范大学,,,313
7,6,前10%,浙江师范大学,,,268
8,4,前10%,中国音乐学院,,,240
9,10,前10%,华南师范大学,,,182
10,7,前25%,北京舞蹈学院,,,158
10,17,前25%,温州大学,,,158
12,15,前25%,陕西师范大学,,,157
13,11,前25%,中国人民大学,,,125
14,19,前25%,中央民族大学,,,121
15,38,前25%,江西师范大学,,,105
16,13,前25%,武汉音乐学院,,,102
17,12,前25%,苏州大学,,,95
18,30,前25%,首都师范大学,,,89
19,27,前25%,南京师范大学,,,88
20,22,前25%,西藏大学,,,87
21,14,前25%,哈尔滨师范大学,,,74
22,24,前25%,广州大学,,,72
23,32,前25%,华东师范大学,,,67
24,,前50%,宁波大学,,,60
24,31,前50%,山东师范大学,,,60
24,18,前50%,西安音乐学院,,,60
27,,前50%,星海音乐学院,,,57
28,19,前50%,河南大学,,,54
28,33,前50%,四川音乐学院,,,54
30,9,前50%,杭州师范大学,,,53
30,,前50%,扬州大学,,,53
32,,前50%,广西艺术学院,,,52
33,28,前50%,天津音乐学院,,,50
34,39,前50%,曲阜师范大学,,,49
35,26,前50%,河北大学,,,46
35,,前50%,吉林艺术学院,,,46
37,42,前50%,广西师范大学,,,45
37,,前50%,云南艺术学院,,,45
39,,前50%,海南大学,,,44
40,,前50%,沈阳师范大学,,,35
40,16,前50%,中国传媒大学,,,35
42,,前50%,华中师范大学,,,32
43,,前50%,北京师范大学,,,31
44,35,前50%,贵州大学,,,30
44,34,前50%,河北师范大学,,,30
44,,前50%,湖南师范大学,,,30
