排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）
93,河北大学,河北省,40.3,66.5,93.88%,2904,0.717,34,2,5008,20,4700
97,山西大学,山西省,39.4,60,86.10%,2899,0.986,56,3,21594,6,570
112,广西大学,广西壮族自治区,38.3,61.1,91.02%,4037,0.666,29,1,45340,43,360
131,南昌大学,江西省,37.3,54.4,85.84%,5353,0.773,44,3,146036,51,5420
157,郑州大学,河南省,35.5,40.1,95.11%,9864,0.729,107,2,76207,87,8050
179,海南大学,海南省,34.5,51.7,91.11%,1122,0.704,12,nan,4935,2,0
181,贵州大学,贵州省,34.4,50.7,86.22%,2270,0.698,30,2,74385,30,1100
187,宁夏大学,宁夏自治区,34.3,50.1,93.44%,885,0.706,6,nan,15672,4,0
191,内蒙古大学,内蒙古自治区,34.1,50.5,85.10%,1384,0.812,17,nan,3517,5,0
243,石河子大学,新疆自治区,31.8,43.3,92.56%,1521,0.629,8,nan,0,15,700
290,新疆大学,新疆自治区,28.6,32.3,85.63%,2362,0.72,24,1,34098,15,350
