排名,学校名称,省市,总得分,生源质量(新生高考成绩得分),培养结果(毕业生就业率),社会声誉(社会捐赠收入)(千元),科研规模(论文数量)( 篇 ),科研质量(论文质量)(FWCI),顶尖成果(高被引论文)( 篇 ),顶尖人才(高被引学者)( 人 ),科技服务(企业科研经费)( 千元 ),成果转化(技术转让收入)( 千元 ),学生国际化(留学生比例)
122,云南大学,云南,35.2,60.3,95.00%,0,3857,0.87,53,4,22311,70,1.54%
135,南昌大学,江西,33.5,52.4,86.50%,0,7554,0.909,108,3,71777,15150,1.34%
137,广西大学,广西,33.4,63.5,nan,2054,5284,0.775,57,1,38067,1369,1.78%
145,山西大学,山西,32.8,53,85.77%,0,4021,1.027,81,3,11292,2250,0.12%
149,郑州大学,河南,32.6,46.6,93.02%,3402,12582,0.816,135,2,59596,1200,0.90%
155,河北大学,河北,32.1,57.3,90.16%,0,3472,0.706,28,2,2420,6148,0.65%
204,内蒙古大学,内蒙古,30.1,50.9,84.40%,0,1782,0.822,15,0,5186,1078,1.82%
215,海南大学,海南,29.6,49.9,84.88%,2892,1700,0.86,19,0,7746,40,0.36%
224,贵州大学,贵州,29.2,47.4,88.53%,2485,3092,0.747,40,2,47063,1150,0.37%
296,宁夏大学,宁夏,27,42.7,92.92%,0,1174,0.694,9,0,12555,0,0.42%
309,新疆大学,新疆,26.7,44.2,nan,300,2917,0.762,29,1,20487,130,1.46%
389,石河子大学,新疆,24.8,40.6,nan,2424,2291,0.726,10,0,0,0,1.03%
409,青海大学,青海,24.1,36.9,91.00%,16,744,0.567,3,0,13210,0,0.01%
599,西藏大学,西藏,16.4,14.1,nan,0,457,0.77,4,0,450,0,0
